;est;SE;p;est;SE;p;est;SE;p;est;SE;p;est;SE;p;Fminus;pminus;Fplus;pplus;df;est;se
outdegree (density);-7.464;1.573;0;-6.962;0.368;0;-4.826;0.181;0;3.161;2.745;0.249;-3.9;0.175;0;1.622.091;0;4.163;0.94;10;-4.616;1.359
reciprocity;5.665;0.754;0;4.424;0.256;0;4.388;0.139;0;2.627;0.646;0;3.793;0.176;0;0;1;1.864.632;0;10;4.153;0.341
GWESP I -> K -> J (69);1.225;0.342;0;0.871;0.132;0;1.236;0.076;0;2.107;0.619;0.001;1.708;0.095;0;0.001;1;684.135;0;10;1.328;0.187
int.  reciprocity x GWESP I -> K -> J (69);0;NA;NA;-0.691;0.166;0;-1.58;0.117;0;0;NA;NA;-1.204;0.103;0;356.498;0;0;1;6;-1.17;0.252
out-isolate;0;NA;NA;0.433;0.345;0.209;2.544;0.127;0;3.918;1.9;0.039;0.567;0.227;0.013;0.273;1;429.915;0;8;1.449;0.676
indegree - popularity (sqrt);0.294;0.317;0.353;0.173;0.042;0;0.68;0.059;0;-1.183;0.867;0.173;-0.093;0.031;0.002;18.802;0.043;163.191;0;10;0.201;0.185
outdegree - popularity (sqrt);0;NA;NA;0;NA;NA;-0.515;0.05;0;0;NA;NA;0;NA;NA;113.691;0;0;1;2;-0.515;0.05
outdegree - activity (sqrt);0.735;0.187;0;0.771;0.091;0;0.244;0.021;0;-1.542;0.842;0.067;0.071;0.019;0;6.792;0.745;264.233;0;10;0.349;0.196
rec.degree^(1/1) - activity;0;NA;NA;-0.09;0.015;0;0;NA;NA;0;NA;NA;0;NA;NA;42.566;0;0;1;2;-0.09;0.015
freq_run alter;-0.205;0.332;0.537;0.093;0.032;0.003;0.097;0.039;0.014;0.216;0.576;0.707;-0.016;0.033;0.636;5.81;0.831;26.108;0.004;10;0.054;0.037
freq_run ego;-0.594;0.389;0.127;-0.099;0.032;0.002;0.025;0.04;0.532;-0.186;0.547;0.734;0.047;0.034;0.158;22.285;0.014;8.769;0.554;10;-0.02;0.047
freq_run similarity;-5.16;1.7;0.002;-0.077;0.128;0.549;0.38;0.168;0.024;-3.453;2.12;0.103;0.22;0.125;0.077;22.063;0.015;16.129;0.096;10;-0.922;0.9
higher freq_run;1.22;1.843;0.508;0.501;0.191;0.009;0.252;0.21;0.229;-0.182;2.494;0.942;-0.328;0.204;0.108;8.187;0.611;19.362;0.036;10;0.159;0.239
gender alter;0.22;0.356;0.536;0.167;0.071;0.018;-0.123;0.062;0.049;0;NA;NA;0.159;0.048;0.001;8.063;0.427;27.65;0.001;8;0.076;0.088
gender ego;-0.456;0.404;0.26;0.086;0.07;0.222;-0.121;0.065;0.061;0;NA;NA;-0.141;0.049;0.004;23.74;0.003;4.74;0.785;8;-0.075;0.068
same gender;-0.486;0.317;0.124;0.194;0.067;0.004;0.062;0.06;0.305;0;NA;NA;0.084;0.046;0.068;5.957;0.652;23.253;0.003;8;0.097;0.033
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
freq_run linear shape;-0.007;0.1;0.948;-0.079;0.31;0.798;-0.087;0.078;0.265;0.149;0.668;0.823;0.243;0.154;0.114;8.549;0.575;10.092;0.432;10;-0.002;0.069
freq_run quadratic shape;-0.071;0.03;0.018;0.041;0.037;0.267;-0.009;0.013;0.503;-0.203;0.128;0.112;0.062;0.016;0;18.223;0.051;25.183;0.005;10;-0.003;0.03
freq_run indegree;0.047;0.032;0.141;0.014;0.008;0.09;0.008;0.028;0.773;0.306;0.238;0.198;0.025;0.009;0.008;1.432;0.999;29.042;0.001;10;0.02;0.006
freq_run average attraction higher;-0.034;1.836;0.985;1.437;2.406;0.55;1.559;2.086;0.455;-4.544;5.303;0.391;-0.136;1.703;0.936;4.094;0.849;8.162;0.418;8;0.359;0.962
freq_run average attraction lower;4.776;2.43;0.049;4.44;4.337;0.306;2.398;2.286;0.294;6.187;5.882;0.293;9.015;2.642;0.001;0.701;1;31.072;0;8;5.139;1.478
freq_run: effect from gender;-0.184;0.123;0.134;0.028;0.093;0.762;-0.192;0.06;0.001;0;NA;NA;-0.089;0.071;0.209;25.486;0.001;2.289;0.971;8;-0.115;0.05
freq_run: effect from freq_other;-0.047;0.051;0.358;0.005;0.02;0.809;0.007;0.015;0.617;-0.026;0.147;0.857;0.031;0.02;0.119;7.03;0.723;11.327;0.333;10;0.01;0.01
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
