;est;SE;p;est;SE;p;est;SE;p;est;SE;p;est;SE;p;Fminus;pminus;Fplus;pplus;df;est;se
outdegree (density);-6.406;1.119;0;-7.109;0.385;0;-4.942;0.185;0;1.508;2.949;0.609;-3.863;0.171;0;1.632.035;0;2.378;0.993;10;-5.04;0.875
reciprocity;5.264;0.542;0;4.433;0.263;0;4.441;0.139;0;2.698;0.698;0;3.794;0.175;0;0;1;1916.45;0;10;4.203;0.294
GWESP I -> K -> J (69);1.182;0.316;0;0.863;0.131;0;1.255;0.077;0;1.97;0.569;0.001;1.718;0.094;0;0.001;1;698.218;0;10;1.323;0.185
int.  reciprocity x GWESP I -> K -> J (69);0;NA;NA;-0.656;0.17;0;-1.622;0.117;0;0;NA;NA;-1.197;0.102;0;362.801;0;0;1;6;-1.169;0.274
out-isolate;0;NA;NA;0.394;0.35;0.261;2.553;0.125;0;3.411;1.855;0.066;0.569;0.22;0.01;0.356;1;445.675;0;8;1.397;0.662
indegree - popularity (sqrt);0.229;0.281;0.416;0.173;0.042;0;0.684;0.059;0;-1.043;0.971;0.283;-0.108;0.031;0;21.049;0.021;168.333;0;10;0.204;0.181
outdegree - popularity (sqrt);0;NA;NA;0;NA;NA;-0.517;0.049;0;0;NA;NA;0;NA;NA;119.815;0;0;1;2;-0.517;0.049
outdegree - activity (sqrt);0.643;0.172;0;0.794;0.093;0;0.242;0.02;0;-1.436;0.829;0.083;0.073;0.019;0;6.363;0.784;264.51;0;10;0.345;0.186
rec.degree^(1/1) - activity;0;NA;NA;-0.094;0.015;0;0;NA;NA;0;NA;NA;0;NA;NA;44.124;0;0;1;2;-0.094;0.015
time_run alter;-0.27;0.251;0.284;0.113;0.035;0.001;0.101;0.036;0.005;0.624;0.65;0.337;-0.005;0.028;0.844;6.008;0.815;31.652;0;10;0.061;0.039
time_run ego;-0.241;0.247;0.33;-0.121;0.034;0;-0.022;0.036;0.55;-0.619;0.58;0.286;0.031;0.028;0.267;27.295;0.002;5.342;0.867;10;-0.045;0.044
time_run similarity;-2.24;1.096;0.041;-0.089;0.134;0.508;0.186;0.153;0.226;-1.593;1.731;0.357;0.311;0.148;0.035;14.239;0.162;13.478;0.198;10;0.089;0.127
higher time_run;0.464;1.419;0.744;0.643;0.219;0.003;0.482;0.203;0.018;2.084;2.752;0.449;-0.359;0.185;0.052;8.741;0.557;27.304;0.002;10;0.276;0.294
gender alter;0.293;0.331;0.376;0.168;0.072;0.019;-0.143;0.062;0.022;0;NA;NA;0.152;0.049;0.002;9.474;0.304;26.681;0.001;8;0.074;0.094
gender ego;-0.399;0.369;0.28;0.085;0.072;0.236;-0.117;0.066;0.074;0;NA;NA;-0.139;0.05;0.005;22.666;0.004;4.655;0.794;8;-0.074;0.067
same gender;-0.466;0.297;0.117;0.196;0.068;0.004;0.066;0.061;0.282;0;NA;NA;0.082;0.046;0.076;6.063;0.64;22.923;0.003;8;0.096;0.032
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
time_run linear shape;-0.056;0.099;0.572;-0.212;0.298;0.476;-0.128;0.078;0.099;1.21;2.159;0.575;-0.007;0.146;0.963;13.531;0.195;5.125;0.883;10;-0.09;0.055
time_run quadratic shape;-0.033;0.025;0.179;0.013;0.033;0.688;-0.008;0.013;0.513;-0.391;0.459;0.394;0.024;0.013;0.061;11.697;0.306;10.344;0.411;10;0.001;0.013
time_run indegree;0.041;0.029;0.164;0.011;0.007;0.114;0.004;0.027;0.893;0.753;0.684;0.271;0.02;0.009;0.03;1.793;0.998;24.731;0.006;10;0.015;0.006
time_run average attraction higher;0.275;1.775;0.877;1.692;2.201;0.442;1.882;2.086;0.367;-17.83;21.101;0.398;1.869;2.147;0.384;2.485;0.962;11.36;0.182;8;1.269;1.014
time_run average attraction lower;3.45;2.108;0.102;1.358;4.112;0.741;1.768;2.176;0.416;16.374;16.305;0.315;8.8;3.411;0.01;1.507;0.993;21.701;0.006;8;3.5;1.307
time_run: effect from gender;-0.073;0.116;0.527;0.031;0.075;0.68;-0.201;0.059;0.001;0;NA;NA;-0.015;0.064;0.819;21.063;0.007;3.822;0.873;8;-0.069;0.058
time_run: effect from time_other;-0.02;0.026;0.435;0.002;0.014;0.877;0.013;0.013;0.327;-0.074;0.102;0.467;0.041;0.016;0.01;7.479;0.68;16.89;0.077;10;0.012;0.01
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
